ward_id,popcut,this_status,that_status,this_boundary,Period,lines,formmin,breakmin,mean_intensity,phi_median,phi_best,phi_lo,phi_hi
0,0,ALL,ALL,8,Day,2860,1030871.8333333334,264476.1666666667,0.2565558182063047,0.024380326259690166,0.026378334989534992,-0.043267764135189804,0.09420845347170605
0,10,ALL,ALL,8,Day,2854,1030747.8333333334,264453.6666666667,0.25656485331766404,0.02153446831064127,0.021114810073327023,-0.05151544920766015,0.09051301534052195
0,20,ALL,ALL,8,Day,2830,1029184.8333333334,264141.1666666667,0.2566508542602244,0.006411249324746036,0.007843969581182747,-0.06750830875246316,0.0823338121159028
0,0,ALL,ALL,8,Night,955,344030.1666666667,69065.33333333333,0.2007537129738138,-0.1201837930207451,-0.11828203890260017,-0.1948934588031595,-0.05096559054369776
0,10,ALL,ALL,8,Night,883,342903.1666666667,68721,0.2004093478285172,-0.17340983224400838,-0.17443052586305435,-0.2630897660342484,-0.08740287993751573
0,20,ALL,ALL,8,Night,795,337780.5,67438.5,0.19965184491111831,-0.16293890676537232,-0.1622641884355044,-0.2541448208081899,-0.08043421578281224
0,0,ALL,ALL,-1,All,3815,1374902,333541.5,0.24259292662313386,-0.004592457086444961,-0.0035604287262569582,-0.04609870989657153,0.04062265330015103
0,10,ALL,ALL,-1,All,3737,1373651,333174.6666666667,0.2425468089541424,-0.026068760352336264,-0.024210101520861366,-0.07319445843552361,0.02461543730152986
0,20,ALL,ALL,-1,All,3625,1366965.3333333333,331579.6666666667,0.2425662586907837,-0.028559104763325113,-0.028129899210679595,-0.08011411728950821,0.02051339254089237
0,10,ALL,ALL,4,Day,2351,804292.6666666666,206063.33333333334,0.25620441646863207,0.14749187840713712,0.1484006624083614,0.07166265688674896,0.22146286617548985
0,10,ALL,ALL,6,Day,2702,959046.3333333334,243081.66666666666,0.25346185915939407,0.14952368666828966,0.15029545887914753,0.07445858737973712,0.22414481399167516
0,10,ALL,ALL,10,Day,2546,1086119.8333333333,259527.5,0.23894923196780468,-0.06518307521045315,-0.06727847364475863,-0.12733913727629706,-0.010053565787016397
0,10,ALL,ALL,4,Night,1386,569358.3333333334,127111.33333333333,0.22325366274900105,-0.13464241709992597,-0.13590859142610473,-0.20328532093427487,-0.06959642261100944
0,10,ALL,ALL,6,Night,1035,414604.6666666667,90093,0.2172985671491075,-0.15756663170533902,-0.15697807946289216,-0.23411499630638805,-0.08354344846696168
0,10,ALL,ALL,10,Night,1191,287531.1666666667,73647.16666666667,0.2561362913121882,0.11059272575658888,0.11521688299053068,0.009131463835138909,0.21211097905251702
1,0,ALL,ALL,8,Day,226,99516.5,41348.83333333333,0.4154972625979946,0.11509954044935729,0.12763344422748826,-0.5044925147397846,0.6531133628044528
1,10,ALL,ALL,8,Day,226,99516.5,41348.83333333333,0.4154972625979946,0.11263589285133514,0.12769102586239875,-0.4624138591006394,0.6613637230006029
1,20,ALL,ALL,8,Day,226,99516.5,41348.83333333333,0.4154972625979946,0.09552988808564562,0.12770183627014192,-0.4700189410386085,0.6288300438635561
1,0,ALL,ALL,8,Night,110,33383.333333333336,12871.666666666666,0.38557164253619564,-0.38546894271589444,-0.37775464049977286,-0.6550738253484647,-0.14854119572548974
1,10,ALL,ALL,8,Night,103,33256.333333333336,12798.166666666666,0.3848339664625284,-0.49218190642079473,-0.4799378528406805,-0.8194695694654242,-0.21292859292319202
1,20,ALL,ALL,8,Night,98,32963.333333333336,12711.666666666666,0.3856304985337243,-0.5586029028553625,-0.543324831365842,-0.905661180669549,-0.25073724688370413
1,0,ALL,ALL,-1,All,336,132899.83333333334,54220.5,0.40798019561098015,-0.22057272590515617,-0.2118753673439419,-0.39412498127744233,-0.060726995820127465
1,10,ALL,ALL,-1,All,329,132772.83333333334,54147,0.40781686012575363,-0.24735173408518704,-0.2416179348993313,-0.4460926007824554,-0.05972927893269193
1,20,ALL,ALL,-1,All,324,132479.83333333334,54060.5,0.40806588172539465,-0.2784455576054012,-0.27447895848381726,-0.4905398390789812,-0.09804868685268155
1,10,ALL,ALL,4,Day,220,74773.33333333333,30803,0.41195167617689016,0.5150488803912654,0.5193053183133464,0.21855686874674474,0.7712519522720452
1,10,ALL,ALL,6,Day,246,89414.33333333333,36389.166666666664,0.40697240934525786,0.5090157780160337,0.5183665567611592,0.2126023940519086,0.7549181248694758
1,10,ALL,ALL,10,Day,225,93181.83333333333,39808.166666666664,0.4272095240309717,-0.5263697763364602,-0.5197054524178977,-0.7974118311958553,-0.2810518045327872
1,10,ALL,ALL,4,Night,109,57999.5,23344,0.40248622832955455,-0.6634752533115199,-0.6536970643430356,-1.0022979421934441,-0.3700204266893296
1,10,ALL,ALL,6,Night,83,43358.5,17757.833333333332,0.4095582949902172,-0.6843673291768819,-0.6668470933593215,-1.0253808649018843,-0.3683550741463044
1,10,ALL,ALL,10,Night,104,39591,14338.833333333334,0.3621740631288256,0.26205059428806937,0.27361436516080334,-0.057134008596977835,0.5338478296884173
2,0,ALL,ALL,8,Day,225,73950.33333333333,18155.833333333332,0.2455138809381071,0.09220564898268394,0.10153796981120443,-0.09599318902932964,0.2684439389763171
2,10,ALL,ALL,8,Day,219,73826.33333333333,18133.333333333332,0.2456214810433495,0.06802885192686016,0.0778692491407012,-0.16307898591211933,0.2703779632490151
2,20,ALL,ALL,8,Day,211,73537.33333333333,18106,0.24621507442931484,-0.02227357503966217,-0.01328415884325937,-0.2797595757787238,0.20930241591748713
2,0,ALL,ALL,8,Night,14,22105.666666666668,2767.1666666666665,0.12517906419168537,-0.6046402642466233,-0.5818693967026701,-1.0387822680489724,-0.24945779766368212
