ward_id,cutoff,this_status,that_status,Period,eta_bayes,eta_lo,eta_hi,lines,formmin,breakmin,mean_intensity
0,1,ALL,ALL,All,-0.025717702437453825,-0.0768267346115048,0.028889516085276762,3529,1359262.3333333333,329184.3333333333,0.2421786621027533
0,1,PA,ALL,All,-0.2283492752218998,-0.27707617735450196,-0.17825363300513675,3378,524676.3333333334,153465.83333333334,0.2924961992441054
0,1,V,ALL,All,-0.5362554671564752,-0.6655699237208078,-0.4086701530478898,1293,51314.166666666664,42023.833333333336,0.8189518813842832
0,1,PE,ALL,All,0.0920032610680384,0.03841499482991467,0.13739763421809872,3520,777670,243266.83333333334,0.31281499007719643
0,1,ALL,PA,All,-0.12317718758535241,-0.16897630709447986,-0.08029971137149418,3378,1342035,153465.83333333334,0.11435307822324556
0,1,PA,PA,All,0.6780857904338319,0.6175081630616882,0.7372599482364514,913,518397.3333333333,47475.5,0.09158129671448928
0,1,V,PA,All,-0.33197070019823804,-0.4564780327237974,-0.20698874054146332,648,51079.666666666664,33756.333333333336,0.6608565704553019
0,1,PE,PA,All,0.008709989207590713,-0.03896121141549239,0.051431972273969576,3127,765497.5,71552.16666666667,0.09347145701542679
0,1,ALL,V,All,0.5651529094521467,0.5069994620326851,0.6206510724016243,1293,404384.8333333333,42023.833333333336,0.10392039925664869
0,1,PA,V,All,0.6157587554665818,0.5441576828747103,0.6876968914818531,648,129591.66666666667,33756.333333333336,0.2604822840974857
0,1,V,V,All,1.3112082896398791,1.1443293569420305,1.464783926900674,395,50681.666666666664,3412.1666666666665,0.0673254628563912
0,1,PE,V,All,0.6003887461606398,0.5461075984331266,0.6566169322547459,1045,219985.5,4808.666666666667,0.021859016465479164
0,1,ALL,PE,All,0.25570713297590697,0.21185365530457814,0.2992687927647959,3520,1359068.3333333333,243266.83333333334,0.17899529211800733
0,1,PA,PE,All,0.3124798219472537,0.2822300068100538,0.3424852087916816,3127,524522.3333333334,71552.16666666667,0.13641395631708086
0,1,V,PE,All,-0.2536493101006861,-0.3718540762043762,-0.13673990948439105,1045,51231.666666666664,4808.666666666667,0.093861218647321
0,1,PE,PE,All,0.2480662184155555,0.1967809977544922,0.30313872455071156,2364,774707,164953.5,0.21292372471140703
0,1,ALL,ALL,Day,0.2358730286749136,0.14146607621083065,0.3231857217179865,2494,944657.6666666666,239091.3333333333,0.2530983887284741
0,1,PA,ALL,Day,-0.16501039148074723,-0.2570021091814827,-0.07546706624166165,2398,311265.8333333333,101304.66666666667,0.32546028448352027
0,1,V,ALL,Day,-0.7561724800585938,-0.9401321177749742,-0.5711589112952417,842,32681.833333333332,25892.333333333332,0.7922546164790837
0,1,PE,ALL,Day,0.411297606466427,0.31740113317501156,0.5042264866755538,2494,595204.1666666666,187969.66666666666,0.3158070410013371
0,1,ALL,PA,Day,0.02236306193653717,-0.04139353322579504,0.08188518278310325,2398,929867.5,101304.66666666667,0.10894527087640624
0,1,PA,PA,Day,0.848247057790808,0.7554388569591335,0.9316089791454213,564,368788,33066,0.0896612688048418
0,1,V,PA,Day,-0.24374598220503224,-0.39486630284567936,-0.094100993214277,394,32660.833333333332,20010.166666666668,0.6126655270073739
0,1,PE,PA,Day,0.5296091689387166,0.4573119452416436,0.5961051532626326,2239,585772.3333333334,53452.333333333336,0.09125103780365182
0,1,ALL,V,Day,0.664221423608849,0.5923050052562479,0.731836602631357,842,287982,25892.333333333332,0.08990955453234345
0,1,PA,V,Day,0.7123514189243251,0.6076797641109914,0.8223998090425364,394,82669.66666666667,20010.166666666668,0.24204968368083415
0,1,V,V,Day,1.3536243908555272,1.1438386316708669,1.5393967797932395,259,32660.5,2707.1666666666665,0.08288809622224604
0,1,PE,V,Day,1.3392559800691888,1.2603491346619202,1.4136402220657203,711,169476.5,3215.1666666666665,0.018971165127121853
0,1,ALL,PE,Day,0.6607364008476789,0.5842740468604045,0.7327044646073283,2494,944657.6666666666,187969.66666666666,0.19898178281867893
0,1,PA,PE,Day,1.1654914925919695,1.0931695448914973,1.240148153003253,2239,312343.8333333333,53452.333333333336,0.17113298752496583
0,1,V,PE,Day,0.17661706470335242,-0.1418904668176065,0.46868736216977247,711,32749.5,3215.1666666666665,0.09817452683755985
0,1,PE,PE,Day,0.3528369355857452,0.2768479003726315,0.4281011670847734,1751,594567.3333333334,129774,0.2182662799054999
0,1,ALL,ALL,Night,-0.1766172831210312,-0.263807372852195,-0.10161269731677869,889,372721.3333333333,79817.66666666667,0.21414837179519286
0,1,PA,ALL,Night,-0.45660666350080714,-0.5390549434299535,-0.38009624349702287,834,194177.5,45842.166666666664,0.2360838236493243
0,1,V,ALL,Night,-0.3710813240551449,-0.5686877369999451,-0.17083451560197097,387,15870.5,13786,0.8686556819255852
0,1,PE,ALL,Night,-0.05673172587769729,-0.14043211600311925,0.031706105634532335,880,162577.33333333334,49488.5,0.30439975232299704
0,1,ALL,PA,Night,-0.23981064103285318,-0.3048329490280283,-0.16878075794011313,834,370284.1666666667,45842.166666666664,0.1238026650702951
0,1,PA,PA,Night,0.6473786585378434,0.5251562689159461,0.7568889645556955,305,37376,2847.1666666666665,0.07617633418949771
0,1,V,PA,Night,-0.5620629117425869,-0.7967040063045983,-0.33182465143997875,219,11063,7715.666666666667,0.6974298713429149
0,1,PE,PA,Night,-0.2443977032304329,-0.3190814350104283,-0.17442136278186723,759,159816.66666666666,16093.833333333334,0.10070184586505372
0,1,ALL,V,Night,0.49548212667418634,0.38609930308038903,0.5911921703472852,387,99777.5,13786,0.1381674225150961
