ward_id,popcut,this_status,that_status,this_boundary,Period,lines,formmin,breakmin,mean_intensity,phi_median,phi_best,phi_lo,phi_hi,DIC,phi_sample1,phi_sample2,phi_sample3,phi_sample4,phi_sample5,phi_sample6,phi_sample7,phi_sample8,phi_sample9,phi_sample10,phi_sample11,phi_sample12,phi_sample13,phi_sample14,phi_sample15,phi_sample16,phi_sample17,phi_sample18,phi_sample19,phi_sample20,phi_sample21,phi_sample22,phi_sample23,phi_sample24,phi_sample25,phi_sample26,phi_sample27,phi_sample28,phi_sample29,phi_sample30,phi_sample31,phi_sample32,phi_sample33,phi_sample34,phi_sample35,phi_sample36,phi_sample37,phi_sample38,phi_sample39,phi_sample40,phi_sample41,phi_sample42,phi_sample43,phi_sample44,phi_sample45,phi_sample46,phi_sample47,phi_sample48,phi_sample49,phi_sample50,phi_sample51,phi_sample52,phi_sample53,phi_sample54,phi_sample55,phi_sample56,phi_sample57,phi_sample58,phi_sample59,phi_sample60,phi_sample61,phi_sample62,phi_sample63,phi_sample64,phi_sample65,phi_sample66,phi_sample67,phi_sample68,phi_sample69,phi_sample70,phi_sample71,phi_sample72,phi_sample73,phi_sample74,phi_sample75,phi_sample76,phi_sample77,phi_sample78,phi_sample79,phi_sample80,phi_sample81,phi_sample82,phi_sample83,phi_sample84,phi_sample85,phi_sample86,phi_sample87,phi_sample88,phi_sample89,phi_sample90,phi_sample91,phi_sample92,phi_sample93,phi_sample94,phi_sample95,phi_sample96,phi_sample97,phi_sample98,phi_sample99,phi_sample100
5,10,ALL,ALL,-1,All,198,86467.83333333333,17597,0.20350920477171666,-0.36133344157283714,-0.358074673660315,-0.5969355094418554,-0.15841579587305832,279.10737479006326,-0.5042540198880923,-0.2933847997352145,-0.3988880416998862,-0.282844762157379,-0.2763072754615588,-0.1575397559874445,-0.2751786920074463,-0.3990605715507958,-0.18912551143467018,-0.3887940050263519,-0.4087120595424386,-0.30650524843476357,-0.6585055081147243,-0.3810812400493019,-0.5040812182519102,-0.24189887549256056,-0.396063676767943,-0.31033870418194975,-0.42860124838130287,-0.5222569544056699,-0.43850390176078247,-0.2700058402109845,-0.37687386120978206,-0.339431057096361,-0.2566003549257304,-0.22070776192464522,-0.28365373047063214,-0.4069421226408095,-0.5082577514595639,-0.367709320865529,-0.3087407892619097,-0.1984572721335207,-0.39974435593191987,-0.292391508310089,-0.35773261898334296,-0.3775451684974813,-0.227221993282889,-0.3947635476379604,-0.3708058195689657,-0.37388438957135145,-0.37766548777962355,-0.5685805460159777,-0.16314070852451,-0.14924351104436895,-0.3767804536968659,-0.46403241604159806,-0.5164401895333154,-0.4046783709308053,-0.36195437855205914,-0.5137200401053709,-0.21032745132807393,-0.17422265514994215,-0.3731814958018157,-0.4011133958290437,-0.30837192577940953,-0.4176806738986135,-0.33524509090057425,-0.18962299352627643,-0.4474778451819008,-0.31556641143846376,-0.2697129842819097,-0.3923990642702343,-0.24924555540498383,-0.6336397318946974,-0.3096173660366541,-0.2133431976221451,-0.3171602517449347,-0.5486693068806638,-0.2598721325571788,-0.3568984699768879,-0.47140252837004726,-0.35027821444719526,-0.5132138199163724,-0.19479553966911817,-0.40919206494288074,-0.3328780847675684,-0.15842823038833392,-0.4925467989288907,-0.4281990483784045,-0.29599775630924197,-0.4667803567212427,-0.46214990574367865,-0.2776969901817422,-0.4212175109395292,-0.4652680119383814,-0.3559978141782729,-0.5563955706871698,-0.3532972808271382,-0.34608528003887923,-0.3695008543055745,-0.43526310123705353,-0.46602449065981755,-0.35340536622218427,-0.43161263892075596,-0.4135031467345396,-0.5867233821722894,-0.5608507425275434,-0.5169921256120698,-0.23509012785135097,-0.46079978361095286
5,10,PA,PA,-1,All,30,26676.833333333332,11,4.123427943096695e-4,2.892885294336369,2.999869861887862,2.497597090535046,2.995922513474071,678.6745886243743,2.9558234336622093,2.5702005055047388,2.8982231242951624,2.8477502073492182,2.9159444498617297,2.9153039295468037,2.8563641232706036,2.9513377826628915,2.7935540017680878,2.6266189310963517,2.810214952794745,2.996945125017459,2.9762648107096754,2.9645858633896474,2.9376351191081422,2.9234892986165493,2.954737431231646,2.9464624939497606,2.962756798233092,2.9129752615213422,2.8254055143579264,2.728897172482918,2.9176919209626577,2.898706079143055,2.8752953009638,2.7572641337828134,2.9708357312217903,2.9184296438695463,2.940013830503447,2.821926988895893,2.8588415866811228,2.712489094572883,2.998165219265138,2.9705419759655696,2.8075916312681635,2.983822199812,2.6016258679589632,2.6619668884406535,2.7939786286353097,2.8666834098077207,2.835930850521936,2.9529168578943072,2.950626220733478,2.5677077209494907,2.7274131516800497,2.9376351191081422,2.8308254251666223,2.814541261119659,2.8199258838713437,2.6429698812632583,2.831392762884766,2.7016967154752174,2.3528210383084653,2.847430415265753,2.9709235491066233,2.969944286654877,2.790841881231055,2.9176919209626577,2.8931749547443046,2.9942631220400773,2.7926863713598817,2.9250942892469114,2.790879758673631,2.9943588187047006,2.6885478863594643,2.9554622506356734,2.9211576712300307,2.762626213776265,2.824802178648711,2.957249274713531,2.8851670670774867,2.8559634956814484,2.62513423269692,2.8622735661116474,2.9025731529395795,2.934898376104677,2.8409383216379513,2.69852896471103,2.9415352856448345,2.8872671847366234,2.8119947966046532,2.9880342178549038,2.483207033273804,2.4788258999829327,2.7387809494109536,2.611687643635346,2.8347965220544458,2.959068983205204,2.8415754279179817,2.816698161391717,2.984166441980864,2.5734842416824564,2.8075916312681635,2.9014086231232947,2.8974896104102683,2.9931244838817737,2.9494210800927445,2.918128456099732,2.847595501269071,2.9985726910493904
5,10,PE,PA,-1,All,184,59478.333333333336,6334.333333333333,0.10649816459775267,-0.00906427049872549,0.002362922935714218,-0.3126183209862606,0.26430290874857254,759.1539338015996,0.33316058786622305,0.0894743792754206,-0.05386814855733155,0.2522708988981211,-0.055810489443657574,-0.11203148554217798,-0.06823653281117989,-0.04608224531238825,-0.25337679028216203,0.04684727793697829,-0.07746802284200166,0.11956117826695223,0.1535464638818136,-0.2864932073253994,0.11239961812069801,0.05843017698086134,-0.06120730488477333,-0.14912707018507226,-0.06309584172233652,0.14683202152430927,-0.11352435174532713,-0.0898923537670998,-0.4256507567190293,-0.15160392684193819,-0.10684456189918375,0.1404296446806973,-0.06721785592360742,0.03277782888532722,-0.0821187326987573,0.0955668496372308,0.07364321346581322,0.21375547782213938,-0.06637751195700654,-0.21415934649112955,-0.047131124237926945,-0.3103722026907203,-0.05992903241822105,0.20854046623990674,-0.022179428161116038,0.19634230915418527,-0.0438781932693801,-0.015238184763342523,-0.059895064154455446,0.07637068429492286,0.02760179772585751,0.010703107010591462,0.0041727055372502014,-0.2458522717948545,0.07773296405272251,-0.04052472214861087,-0.3055950436495266,0.11311076292345437,0.016045746947613154,-0.32885136714673224,-0.04426681878621716,0.012109062656122348,0.08911951091325399,-0.034054601761849504,-0.07187691302234334,0.09078112732520553,0.07196117757594203,-0.07870838655268725,0.09557375800024279,-0.2227003316955757,-0.21269209907282557,0.3047020611587031,-0.0364749674307949,-0.02785339393768253,0.07800630614534881,0.06584276301224012,-0.06012716475726976,-0.290673663405268,0.036163184590613004,-0.024174412349687535,0.2580970739221548,-0.10968096932445695,0.1513726803428065,0.05713118954952516,0.15478412096121025,-0.02448609606885702,-0.007902707645420962,-0.10054477127041697,0.23113421004947754,-0.2519244984449,-0.14776801670390508,0.07862486953330715,0.08897376361607595,-0.21089865570696936,0.0447070007504665,-0.07132780807468281,0.171646238174261,-0.09897206866050737,7.375906996077569e-4,-0.1830887245218843,0.15681368314415067,0.18801011201023976,0.1463931698524077,-0.21050827225465257,-0.12677677931918663,-0.14489027585413353
5,10,PA,PE,-1,All,184,26676.833333333332,6334.333333333333,0.2374469733414136,0.41400503441800063,0.4157106956190811,0.15717555585858434,0.6813008542087575,-23.862557677477785,0.19804758406036688,0.19017726392210926,0.2018688740453247,0.23890145158628154,0.48859160510722655,0.2659134104491693,0.4155307575808719,0.5310860613599908,0.39470233712764513,0.6182038733698939,0.34160237142237915,0.4537523305681375,0.44438156998334866,0.34951645499663203,0.24034068965060434,0.30964629833997676,0.23516758358700643,0.4943087212442093,0.20908871711283267,0.38595025662258486,0.26886727574375274,0.27732245755646867,0.3862243525608773,0.4250602337583344,0.2975893447096954,0.5381723196512251,0.6722446277701729,0.2959234556428789,0.39348318305714924,0.4256396878310111,0.4510650857423248,0.3870150216352533,0.40393755407153764,0.7027556493800295,0.47142405150455485,0.3910704332858497,0.282255742911692,0.31970915551339496,0.32186503249244347,0.4323484584807192,0.46018379697483003,0.21267107144727326,0.4525175639323026,0.5609633547571077,0.2513662789812826,0.44438156998334866,0.33917973020621517,0.45942205650327306,0.5832065502705133,0.462360583318558,0.47257155570730636,0.3194862005699875,0.32133629776077544,0.47845367184717413,0.43723197424051274,0.39943379395236156,0.10303901245422817,0.32184613913150545,0.3290026457751436,0.21973191405065623,0.3951347457149761,0.3995512082303294,0.4086449708373146,0.41620292918081536,0.5694495573921547,0.23118118612881106,0.500609543718491,0.312637990544006,0.457734184014634,0.4471587582665494,0.3679876657372429,0.7285657257954876,0.4788793987761938,0.5463044794674349,0.3954245037632968,0.4933677566889185,0.29008481605424546,0.5024651131097084,0.39705950855167765,0.5391115293582841,0.1914253907916384,0.326323674849722,0.4379906540447109,0.3599418280068087,0.7243173353837268,0.5551039876598138,0.2872311490478085,0.34235711877353353,0.5129556128036838,0.17745661799704693,0.45119078224472253,0.4887138271786839,0.22414341637299195,0.24021055729997168,0.5660471586002319,0.45449541646161007,0.6822164575765933,0.7154714377050665,0.6738782141103733,0.37844774818749694
5,10,PE,PE,-1,All,175,59877,11287.333333333334,0.1885086649854424,-0.43444496580341807,-0.4265912913892,-0.6570026364505531,-0.22296326157259794,308.6238193355759,-0.4540760706446241,-0.5275338461540008,-0.4835672863370799,-0.4099919408950168,-0.47380755316858997,-0.27624665840144236,-0.4803197337346514,-0.2905111822767569,-0.3597404421840804,-0.20704152737459453,-0.1915578649693057,-0.44488847023021355,-0.5252719233448352,-0.6856571150430527,-0.37469584744652695,-0.4000077010719675,-0.5301436740136951,-0.23890119028071174,-0.363393030406091,-0.4144629372480372,-0.48087404014377405,-0.4509453061273912,-0.36076597869590044,-0.512461983696665,-0.6020885662917399,-0.6231102345363487,-0.3575948306686064,-0.418519228088956,-0.3682284839722475,-0.4127595076155362,-0.29878724752708335,-0.31037237316896904,-0.411070722602915,-0.41054887106415433,-0.3237151659991302,-0.3572356383148249,-0.4052197627031053,-0.4238621910075119,-0.393585569475227,-0.2628302895847029,-0.40472167965113753,-0.3656393557251034,-0.3518903512142382,-0.465989459132285,-0.6006829725642032,-0.4520758288914151,-0.5069774485911515,-0.4160422304009569,-0.5103809775465714,-0.35644675151848954,-0.3083618614349308,-0.2513549965293628,-0.419825287468653,-0.4359992621124353,-0.42384121465659547,-0.3982957409970811,-0.6467621904600661,-0.4970702579725791,-0.5390960086638563,-0.7006602197168357,-0.37896868924175514,-0.3599519102599653,-0.37330135976614987,-0.21943306026619241,-0.48880799843489525,-0.5278271623543394,-0.4030508258223716,-0.28943965852734327,-0.5917173531947608,-0.6257106544054294,-0.49840653105213995,-0.4484785607339102,-0.355977435531426,-0.41876197230391793,-0.5805742003108509,-0.31253816515918187,-0.42972957713349835,-0.6004527191808041,-0.4732800145575212,-0.25510680428262655,-0.4722001473722995,-0.6219493117146611,-0.39920744045679935,-0.5346120609343487,-0.5580646893868341,-0.23827957100632224,-0.5955977165544796,-0.4686741909694456,-0.5354530044281676,-0.34674321521971596,-0.48451993355122264,-0.46106145347434807,-0.4420133510982073,-0.4403290540878768,-0.48648078156659363,-0.45259155948957774,-0.4165692841060353,-0.49313977917269775,-0.3921167892479124,-0.40458086521415065
6,10,ALL,ALL,8,Day,155,60471,19644,0.32484992806469215,-0.0552900667813974,-0.028971384701850456,-0.6493467175867583,0.444482215316728,98.29876222343478,0.06374195869610175,0.08352726856296694,-0.5828439713823967,0.15053894363452938,-0.16921365042596473,0.18225894792855962,-0.06247284469736647,-0.49826887075118437,0.05509580285080676,-0.01305078044480773,-0.14830516371867425,0.29687265328780393,-0.5018768244942482,-0.0639309036808368,-0.406693898484496,0.2292286441007983,0.051251573270429285,0.22981439751748872,-0.09599337197323901,-0.2904072910192098,-0.09272887024825624,0.17314167559444266,-0.1549285115263303,-0.04583094851505366,0.28570506974485704,0.08885213397263904,0.14350955181249786,-0.32600921932110555,0.2803664579503722,0.041556348213356395,0.07354699488698963,-0.3510469548494178,0.4592888424903097,0.10399607042245834,-0.021662967076134465,-0.07432586889420068,0.27089552832718017,-0.5978963475899945,-0.5497319101625192,0.08973069455658976,-0.07496500320848595,0.011220864967622701,-0.10427900840770525,-0.47175486653265425,0.15887937157799248,0.15804435847635898,0.06511059330024899,0.24087443177593523,0.1457666998449736,-0.3671129542062578,-0.153635689953488,-0.20295503697964468,0.0027246061775767563,-0.18794809002179083,-0.3749813879546272,0.3035474807045464,0.35048540404471074,-0.17346968432906146,-0.04818294036659628,-0.10817814953419413,-0.11859931191253245,0.11081203092278925,0.01718311817013235,-0.07639807066377735,0.11039989868445053,0.3290180515643319,0.17190998582978623,-0.05983681838818026,-0.604155453362972,-0.10300876628741507,-0.15420453130081552,-0.1440552042652331,0.22930295154769287,-0.04927707340762216,0.4922462940299992,-0.0538820929011674,0.0790678669957731,-0.14235149897639882,-0.2493296040190105,-0.6895508078720802,-0.3096545422749543,-0.49702691687790246,-0.1865055304935471,0.23848017990528825,-0.1644155950426721,-0.34670794812662886,-0.08125053558452468,-0.47357686981191366,0.22869067182716457,0.07342746009083953,-0.06456932350688235,-0.23363310926632058,-0.5140266205055859,0.11579805770358188,-0.1467248678101407,0.15965134895033753,0.14911674876029363,-0.12628856380801812,0.32350290400678056,0.07034765652269465
6,10,PA,PA,8,Day,24,21874.666666666668,1433,0.06550956966963306,2.694949323859027,2.999979997569986,1.8737538752562721,2.9872413125680386,202.6518097721442,2.3783790443234625,2.531954045635192,2.7391352426723783,2.8321694512777564,2.6865844786753303,2.8508507495847315,2.5172540968226835,2.9570532967045984,2.678478937072069,2.5285411532027426,2.941993590453261,2.4400363913328644,2.482769837966954,2.0487661030864457,2.0703745064305825,2.5055534977848204,2.4529541082388495,2.778088467961966,2.6466119238251142,2.4297116746360077,2.540688170798566,1.6420479363594285,2.422386369167229,2.458567524687547,2.8537358990126256,2.7751533298792426,2.72229667992231,2.8459057014966316,2.6393406267253376,1.9043099952492335,2.6113140136226836,2.01056103920727,2.73366463923713,2.375519223918255,2.882256499433751,2.9904978929989,2.611542238285827,2.906828884308891,2.8314273944375743,2.8644560461653863,2.990218121355631,2.685942192706425,2.0851806204555476,2.4550300129172533,2.8988643111795733,2.763648626822054,2.647273451690979,2.3633403915681455,2.6315074514939636,2.6664785209715323,2.90536427693551,2.837940797279234,2.253028334028411,2.838066162526456,2.4978399307763937,2.3742047084939797,2.950972133091739,2.7397188523561464,2.649829567297754,2.8474581591230215,2.806896757572993,2.9731628289535887,2.9741587901822286,2.356999412674362,2.6920464272654447,2.4895517103121576,2.7361742583391315,2.7285436909260095,2.8474581591230215,2.077001397887496,2.5772312012905956,1.945189305996738,2.610203479403787,2.4845776099305668,1.915774706560567,2.27625447030784,2.9071380745089126,2.545735409575187,2.6946999090313244,2.5453176979946317,2.990580416280366,2.5728170098940937,2.9658157147205397,2.010554485417426,1.84339715084743,2.1289665089447376,2.232341023843359,2.3855228957877923,2.1977843748363237,1.79936544105973,2.740774931701649,2.1469399976152284,2.863314726324421,2.827784666930945,2.773901516198926,1.780378350021606,2.9121697051634117,2.733094296766041,2.7294403491514867,2.2812997404545836
6,10,PE,PA,8,Day,137,34888,1861.6666666666667,0.05336123213330276,0.11900395192776,0.18436921988490312,-0.6475337266745451,0.651515181878425,1179.2600263683994,0.3497290181225987,0.27841112503444304,-0.3170846267905685,0.18046550222499905,0.1604086112728694,0.12203305540073026,0.15407641016417783,0.10118218552619102,0.38925931407873793,0.4410313803174587,-0.19734248264017767,-0.3822981345935832,0.23388513770673727,-0.38135430175456797,-0.5280338924879491,0.501939670719457,0.10026319785006313,-0.1811023856892217,-0.05725598964034846,-0.6078258912167706,-0.13590879098576467,0.47645623968224454,-0.10245101979335315,0.1258352457133522,0.6561159087341288,0.3225211482159594,0.19248011451505323,0.33757234000591496,0.46907668842210354,0.2745552230378083,0.48870503713452407,0.19592882768288541,0.3132428595458795,-0.1442676642761226,0.6853422849864755,0.23741753612433175,-0.5417882303208914,0.06134297661864402,0.49298959438333373,0.5015788626798534,0.0946157250458754,0.6355994027958833,0.11895472176843613,-0.05853300314805709,0.2000448900622249,0.26692795569430333,-0.17161862197206323,-0.030983214835561476,-0.30669217055821846,0.22261335099217278,0.12264984123922658,0.015407192109807566,-0.18587024304573527,-0.5678162781863829,-0.21650716778440854,-0.4013404330882569,0.46071803947432066,-0.07238614408690817,-0.004094403499805339,0.09505244163499907,-0.12653394004282592,0.03515041478654761,-0.13961795256307488,0.6466830266580119,0.35256513787228017,0.14950851725396902,0.6354654344004876,-0.01739203979502063,-0.4325035011188234,0.3013625013129729,-0.4051780732377929,-0.24230628801439463,-1.0295739219635505,0.7169694533214721,0.19785033506254157,0.41277749557610577,-0.06783878715195191,0.23866854204910143,0.35734533068931007,0.44528134504930444,0.01686677182318981,-0.44174702182994763,0.015021654777366139,-0.13766201716295473,0.5794449658359626,-0.052810530810259444,-0.07351557791085106,0.03561908336789166,0.05417201749500167,-0.03568589364186746,0.10279362455828286,0.2383365637990699,0.42693772181284617,0.26382436852763264,0.43780536187943675,-0.47397829871069486,-0.5520626106095377,0.5485360591823379,0.45139572480036017,0.5424933140553004
6,10,PA,PE,8,Day,137,14390,1861.6666666666667,0.1293722492471624,0.6557144339950108,0.6767365232498341,0.19816564653599017,1.0711955115772889,681.5909459841284,0.6623893593157496,0.8765617116771035,1.0865563214850509,0.6869604231703091,0.2815438660462762,0.3008459898673508,0.7549641661522493,1.0744427701245138,0.7182727083454712,0.5418322708703212,0.32594985347141353,0.6159354728888344,0.5221133662278526,0.63056236517895,0.6013984444667486,0.7692884413357653,0.8935145921720955,0.796543644289059,0.7991359179825512,0.3503012561684046,0.5876337878524069,0.8070004788041983,0.7570879817343539,0.85545243551481,0.6911253190306373,0.3166401669532647,0.45821209148784947,0.6646223365829175,1.2979317365746807,0.5791974702352474,0.9728817073664839,0.6647480867452648,0.586263803169383,0.5174537969539319,0.40585406833403787,0.617026589918855,0.5994677330762718,0.6234281642030349,0.8375636039565567,1.0175637971050593,0.5461266490338953,0.4382445849340139,1.0237077331910565,0.5216321631002844,0.44183202776145597,0.27798655329662275,1.1352893387913159,0.6833670915236132,0.8322516298801731,0.7944203231890967,0.7533950074634685,0.7004199384653226,1.391893470191398,0.5617611382070891,0.7168822492696447,0.6110272078325831,0.8886334691893483,0.11273711872207731,0.4671048241453548,0.49845595619717703,0.27665578335080826,0.8471332427089572,0.2305213175582862,0.4043374123131875,0.8558988835729929,0.5778702185013873,0.3955744456064073,0.6124467873076094,0.47928064387496494,0.44765175540185614,1.0402751301479307,0.7866144369829104,0.6547083992715037,0.9556233030811008,0.9384513099354036,0.7716546721665722,0.5454036913404383,0.6598289283155618,1.0273991446917932,0.4882605650613184,0.20826392509904007,0.9000624947401998,0.27643217172952134,0.7470568521500678,1.0120950381450176,0.8514609400530763,0.44038083621046403,1.0433676285652498,0.37795112104291784,0.8587729624136391,0.6414299996291644,0.8341256457187087,0.776471225059127,0.6735171675768299,0.7667778952077566,0.6778930966957959,1.3797924207159473,0.4940404532412408,0.24708309729409333,0.11803989487576055
